Year,State abbreviation,State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season Nox fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh)
1999,SD,13.131,13.881,2.373,12.725,13.209,6.255,2.339,12.531,14.158,3.869,0.016,13.577,2228.898,2389.540,1530.170,2203.017
1999,TN,6.543,N/A,1.016,6.503,6.580,N/A,1.043,6.542,15.220,N/A,0.010,15.110,2107.679,N/A,651.936,2097.116
1999,TX,3.788,6.579,2.155,2.909,3.717,6.574,2.245,2.883,9.603,12.498,0.012,4.393,2256.519,2884.095,1148.784,1655.758
1999,UT,4.289,26.659,6.259,4.320,4.282,26.648,6.559,4.317,1.800,2.183,0.026,1.772,2254.412,1327.449,1358.345,2240.519
1999,VA,4.977,14.006,1.478,4.775,4.923,8.696,1.368,4.706,11.478,2.326,0.081,10.749,2065.355,1937.962,1368.903,2021.548
1999,VT,N/A,14.669,N/A,14.669,N/A,9.155,N/A,9.155,N/A,4.233,N/A,4.233,N/A,2614.702,N/A,2614.702
1999,WA,5.041,57.555,0.858,3.829,5.008,70.560,0.887,3.785,20.268,5.473,0.045,14.405,2458.553,2871.515,1426.730,2159.424
1999,WI,5.327,10.118,1.342,5.197,5.348,6.432,1.549,5.178,10.094,2.126,0.032,9.720,2408.195,1678.432,1212.525,2364.260
1999,WV,6.236,N/A,2.382,6.233,6.187,N/A,2.382,6.184,14.857,N/A,2.557,14.848,2060.341,N/A,1096.631,2059.630
1999,WY,4.595,N/A,1.858,4.572,4.667,N/A,1.858,4.643,4.770,N/A,0.011,4.731,2547.732,N/A,1255.620,2536.950
2000,AK,10.804,17.401,3.288,5.802,10.736,19.292,3.610,6.322,6.024,7.726,0.041,1.610,2857.345,1855.692,1312.061,1542.217
2000,AL,4.551,N/A,2.678,4.493,4.377,N/A,2.337,4.310,12.864,N/A,0.415,12.483,2203.939,N/A,1516.718,2182.945
2000,AR,3.666,36.010,4.230,3.740,3.751,36.010,4.922,3.925,6.055,5.632,1.136,5.411,2366.156,1802.888,1874.291,2301.718
2000,AZ,4.162,15.665,4.232,4.174,4.170,16.618,4.037,4.147,3.388,1.584,0.117,2.900,2226.826,2950.484,1332.356,2093.451
2000,CA,6.678,6.022,0.719,0.963,6.678,6.004,0.793,1.027,6.789,7.305,0.020,0.319,2127.100,2368.586,1138.253,1184.692
2000,CO,4.110,10.534,0.918,3.618,4.044,10.637,0.920,3.540,5.019,2.678,0.018,4.221,2303.938,1752.533,932.357,2085.369
2000,CT,4.220,2.340,0.515,2.475,4.196,1.820,0.523,2.189,4.785,7.080,0.042,5.081,1811.369,1694.186,935.003,1574.820
2000,DC,N/A,5.212,N/A,5.212,N/A,3.889,N/A,3.889,N/A,13.622,N/A,13.622,N/A,2656.955,N/A,2656.955
2000,DE,4.186,5.691,0.251,3.678,3.902,5.399,0.210,3.309,16.145,9.096,0.017,13.743,2343.558,2201.057,360.949,2065.804
2000,FL,4.760,3.187,1.643,3.681,4.783,3.413,1.677,3.720,8.620,6.892,1.900,6.850,2002.091,1279.309,1098.508,1599.844
2000,GA,4.619,5.274,0.710,4.485,4.517,5.136,1.030,4.380,12.835,12.736,0.089,12.372,2084.060,2137.857,1335.881,2057.631
2000,HI,4.380,5.891,N/A,5.647,4.380,5.746,N/A,5.532,2.232,5.471,N/A,4.948,1966.470,1861.487,N/A,1878.453
2000,IA,4.685,13.758,7.460,4.714,4.597,8.462,3.511,4.608,8.093,2.297,0.098,8.059,2301.701,1971.696,1919.774,2299.945
2000,ID,8.228,35.347,0.518,1.198,8.228,56.023,0.435,1.011,13.723,2.560,0.005,1.049,1748.074,1748.125,1079.405,1131.832
2000,IL,5.727,29.883,1.745,5.521,5.883,28.940,2.322,5.696,10.619,2.403,0.607,10.090,2308.122,1740.818,1482.861,2264.473
2000,IN,5.255,18.630,1.563,5.222,5.228,22.094,1.539,5.193,13.593,2.903,0.193,13.465,2185.483,2365.516,1337.655,2177.513
2000,KS,5.191,50.410,6.723,5.331,5.106,50.410,6.206,5.244,6.931,1.704,2.107,6.516,2422.829,2382.096,1493.800,2343.179
2000,KY,5.454,N/A,1.317,5.443,5.278,N/A,1.262,5.266,12.929,N/A,0.028,12.893,2288.793,N/A,1360.954,2286.185
2000,LA,4.117,4.193,2.585,3.190,4.057,4.193,2.742,3.228,11.210,6.053,0.242,4.464,2344.701,1638.310,1419.852,1770.537
2000,MA,3.476,2.451,0.982,2.373,3.155,2.428,1.000,2.236,11.870,10.060,0.178,7.368,2099.100,1823.239,1064.458,1674.822
2000,MD,5.177,5.365,0.525,5.048,4.396,5.365,0.450,4.299,15.247,13.774,0.403,14.776,2054.267,1748.369,496.674,2000.457
2000,ME,2.290,3.000,0.214,1.525,2.290,2.595,0.192,1.355,2.464,8.970,0.019,3.791,1407.371,1803.922,815.795,1265.659
2000,MI,4.639,8.471,1.275,4.163,4.696,8.476,1.272,4.238,10.474,4.333,0.232,8.960,2149.199,1933.179,1017.827,1983.637
2000,MN,5.735,25.247,2.150,5.644,5.564,20.434,2.106,5.458,7.571,4.832,0.123,7.347,2464.542,3605.448,1171.793,2426.966
2000,MO,5.040,15.817,2.996,4.996,4.802,10.290,3.133,4.745,7.386,1.251,0.031,7.126,2270.898,2287.950,2908.884,2292.299
2000,MS,4.865,7.587,4.666,5.064,4.903,6.378,4.189,4.802,12.348,26.180,2.498,10.482,2172.064,2045.943,1619.662,1979.780
2000,MT,4.440,6.054,4.657,4.487,3.715,6.054,3.111,3.782,2.544,9.317,0.051,2.738,2296.830,2540.540,1889.862,2303.582
2000,NC,4.572,3.447,2.966,4.544,4.386,3.190,1.734,4.316,12.162,1.095,0.439,11.960,2037.384,1514.164,1798.788,2033.236
2000,ND,5.375,12.253,N/A,5.378,5.489,9.578,N/A,5.491,10.464,5.270,N/A,10.462,2571.329,2222.394,N/A,2571.186
2000,NE,4.615,25.267,5.057,4.654,4.548,19.383,3.757,4.548,6.535,2.111,0.459,6.399,2322.493,1929.128,1635.068,2307.312
2000,NH,4.020,2.705,1.434,3.830,2.353,2.338,1.434,2.337,23.268,19.880,0.404,22.524,2333.808,2206.732,1106.666,2300.049
2000,NJ,5.709,3.056,0.875,2.707,4.398,2.283,0.860,2.229,11.787,3.936,0.118,4.523,2362.047,1554.497,1007.171,1519.814
2000,NM,5.634,3.009,2.138,5.154,5.697,3.000,2.185,5.180,4.712,3.493,0.010,4.071,2298.524,1889.497,1218.722,2150.964
2000,NV,4.050,47.863,2.223,3.309,4.070,21.495,2.411,3.392,5.570,4.551,0.047,3.319,2123.291,2372.770,1165.348,1732.917
2000,NY,4.076,2.970,1.137,2.359,3.785,2.838,1.128,2.235,17.561,8.901,0.402,7.181,2121.335,2146.806,1258.560,1673.863
2000,OH,5.844,21.164,3.659,5.834,5.684,19.204,3.297,5.671,18.919,4.506,0.073,18.810,2101.631,3534.592,1766.882,2099.960
2000,OK,4.005,N/A,3.324,3.803,3.925,N/A,3.209,3.678,5.111,N/A,0.090,3.621,2201.726,N/A,1243.640,1917.475
2000,OR,4.349,N/A,1.170,2.108,4.264,N/A,1.145,1.791,7.566,N/A,0.025,2.250,2109.633,N/A,978.796,1312.507
2000,PA,4.465,4.603,0.826,4.399,4.270,4.491,0.845,4.208,15.948,17.456,0.072,15.679,2042.188,2155.114,891.755,2022.783
2000,RI,N/A,9.441,0.403,0.495,N/A,9.441,0.397,0.490,N/A,18.120,0.011,0.196,N/A,2874.304,1002.805,1021.876
2000,SC,3.917,15.067,0.618,3.857,3.933,11.321,0.597,3.863,8.928,3.686,0.133,8.743,1805.857,2874.300,984.817,1789.702
2000,SD,9.578,14.639,1.556,9.357,9.381,15.229,1.424,9.009,7.497,3.656,0.094,7.270,2215.380,2496.557,1673.543,2200.304
2000,TN,5.028,N/A,1.139,4.999,4.866,N/A,1.363,4.841,13.316,N/A,0.016,13.217,2080.365,N/A,1125.279,2073.296
2000,TX,3.385,6.618,1.925,2.564,3.324,6.618,2.037,2.568,7.846,11.851,0.052,3.414,2307.430,2959.402,1140.432,1643.953
2000,UT,4.573,31.711,2.874,4.546,4.650,31.711,2.671,4.607,1.638,2.151,0.028,1.599,2167.219,1574.131,1405.086,2148.514
2000,VA,4.268,9.825,0.691,4.065,4.186,9.153,0.651,3.982,10.324,1.411,0.126,9.684,2082.275,1275.783,1120.463,2021.994
2000,VT,N/A,13.338,N/A,13.338,N/A,16.338,N/A,16.338,N/A,6.440,N/A,6.440,N/A,2330.842,N/A,2330.842
2000,WA,4.280,60.276,1.947,3.251,5.510,41.440,1.727,3.338,17.770,5.732,0.173,10.001,2200.154,3007.298,1329.220,1815.663
2000,WI,5.029,2.709,1.039,4.879,4.807,6.499,1.018,4.662,9.031,0.244,0.053,8.691,2351.793,1305.221,1303.507,2312.055
2000,WV,5.860,N/A,3.483,5.859,5.763,N/A,3.483,5.762,13.045,N/A,5.659,13.042,2053.137,N/A,1291.943,2052.767
2000,WY,4.190,N/A,1.413,4.169,4.155,N/A,1.413,4.133,3.873,N/A,0.008,3.843,2383.547,N/A,957.577,2372.508
2004,AK,4.866,12.691,3.075,4.758,4.717,14.872,3.367,5.248,3.113,7.425,0.040,1.556,1702.747,1681.041,1328.969,1431.064
2004,AL,3.426,27.220,0.280,3.034,2.867,27.220,0.223,2.453,10.352,2.761,0.012,9.062,2056.719,1782.526,982.258,1922.737
2004,AR,2.998,2.568,1.253,2.706,3.000,2.143,1.407,2.678,6.075,7.201,1.271,5.271,2210.112,1690.769,1554.374,2099.883
2004,AZ,4.019,15.676,0.541,2.741,4.012,14.912,0.635,2.597,3.010,3.074,0.014,1.909,2265.494,1967.774,1238.070,1888.004
2004,CA,0.754,1.532,0.438,0.463,0.755,1.482,0.421,0.446,3.020,7.742,0.022,0.222,2247.887,2011.438,1224.186,1265.055
2004,CO,3.832,25.898,0.534,3.081,3.858,27.511,0.492,3.047,3.558,6.674,0.011,2.750,2351.447,4237.484,980.847,2039.068
2004,CT,2.552,2.419,0.331,1.296,2.365,2.373,0.354,1.099,1.791,4.122,0.022,1.070,2094.270,1909.712,1333.425,1648.177
2004,DC,N/A,5.046,N/A,5.046,N/A,5.104,N/A,5.104,N/A,9.500,N/A,9.500,N/A,3614.251,N/A,3614.251
2004,DE,3.790,1.034,0.248,3.080,3.330,1.030,0.266,2.694,13.683,0.570,0.175,10.315,2203.408,641.587,1238.773,1804.224
2004,FL,3.897,2.364,0.687,2.451,3.876,2.477,0.711,2.417,6.334,6.278,0.129,4.386,1858.172,1327.198,1094.758,1465.686
2004,GA,2.535,7.055,0.624,2.418,1.677,12.531,0.637,1.584,13.837,20.056,0.016,12.975,2033.209,2748.351,1259.838,1985.150
